epoch,steps,training step,training data,training loss,training prec1,training prec5,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation error1,validation error5
55,42955,0.15540955955026703,0.026528460115537753,0.29653471460263037,89.54065300896286,99.70790653008963,10.459346991037137,0.29209346991036966,0.1499799254593576,0.08359863955503816,0.416744182062149,85.93,99.47,14.069999999999993,0.5300000000000011
56,43736,0.15528952327488937,0.02658847901641025,0.2969825524126064,89.65068822023048,99.73191421254802,10.349311779769522,0.2680857874519802,0.1489846767133968,0.0833000392670844,0.4709665641307831,83.76,99.2,16.239999999999995,0.7999999999999972
57,44517,0.15564961683734888,0.026648476548139937,0.29074452785958704,89.75872279129321,99.72791293213828,10.24127720870679,0.2720870678617189,0.14918372889233242,0.08379767351089769,0.5617163856983185,81.78,98.93,18.22,1.0699999999999932
58,45298,0.1554695308284784,0.026668459749404967,0.2915112075518707,89.79673495518566,99.73791613316261,10.203265044814344,0.2620838668373864,0.14898469797365224,0.08339958130174381,0.5470717001914978,80.96,98.93,19.040000000000006,1.0699999999999932
59,46079,0.1551494754078141,0.026548465601766002,0.2964632462295161,89.75672215108835,99.73191421254802,10.243277848911646,0.2680857874519802,0.14958179832264118,0.08369815273649374,0.5039644375324249,82.39,99.39,17.61,0.6099999999999994
60,46860,0.15528952419070977,0.026528460115537753,0.2897175015802954,89.87075864276568,99.73391485275287,10.12924135723432,0.26608514724712506,0.1492832542225054,0.08369813755059698,0.45910789337158203,84.17,99.12,15.829999999999998,0.8799999999999955
61,47641,0.15520949888778862,0.026588482679691876,0.2879453153562912,90.00280089628681,99.75192061459667,9.997199103713186,0.2480793854033294,0.14928322536930158,0.08359860462747562,0.47596706795692445,83.57,99.06,16.430000000000007,0.9399999999999977
62,48422,0.15544957357545822,0.026568472309088126,0.2867084558809918,90.03481113956467,99.77192701664532,9.965188860435333,0.22807298335467863,0.14948231095721007,0.08389719428530165,0.515190497970581,82.66,99.02,17.340000000000003,0.980000000000004
63,49203,0.1554295461095402,0.026628469840817813,0.28569909068785615,90.00280089628681,99.74391805377721,9.997199103713186,0.25608194622279257,0.14948226084375077,0.08349906107422653,0.48154821586608887,83.7,99.3,16.299999999999997,0.7000000000000028
64,49984,0.15546955799781711,0.026468419234975504,0.2832215846863202,90.0848271446863,99.73591549295774,9.915172855313699,0.2640845070422557,0.14938279473857516,0.08330007267605727,0.47277159485816955,83.77,99.22,16.230000000000004,0.7800000000000011
